index_no,model,simulation,scenario,run,step,time,agent_name,payoff,my_play,other_play
0,ipd,ipd, ,0,0,2020-06-17T18:43, ,0,0,0
1,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_0,3,C,C
2,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_1,3,C,C
3,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_2,5,D,C
4,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_3,1,D,D
5,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_4,1,D,D
6,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_5,5,D,C
7,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_6,5,D,C
8,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_7,3,C,C
9,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_8,0,C,D
10,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_9,5,D,C
11,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_10,1,D,D
12,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_11,5,D,C
13,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_12,0,C,D
14,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_13,1,D,D
15,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_14,1,D,D
16,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_15,0,C,D
17,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_16,5,D,C
18,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_17,0,C,D
19,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_18,3,C,C
20,ipd,ipd,Scenario1,0,0,2020-06-17T18:43,RPl_19,1,D,D
21,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_0,5,D,C
22,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_1,3,C,C
23,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_2,1,D,D
24,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_3,1,D,D
25,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_4,3,C,C
26,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_5,0,C,D
27,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_6,3,C,C
28,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_7,0,C,D
29,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_8,5,D,C
30,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_9,3,C,C
31,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_10,5,D,C
32,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_11,1,D,D
33,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_12,0,C,D
34,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_13,0,C,D
35,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_14,5,D,C
36,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_15,5,D,C
37,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_16,5,D,C
38,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_17,0,C,D
39,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_18,1,D,D
40,ipd,ipd,Scenario1,0,1,2020-06-17T18:43,RPl_19,1,D,D
41,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_0,3,C,C
42,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_1,1,D,D
43,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_2,0,C,D
44,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_3,3,C,C
45,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_4,3,C,C
46,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_5,1,D,D
47,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_6,3,C,C
48,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_7,3,C,C
49,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_8,0,C,D
50,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_9,1,D,D
51,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_10,1,D,D
52,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_11,0,C,D
53,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_12,5,D,C
54,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_13,5,D,C
55,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_14,5,D,C
56,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_15,1,D,D
57,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_16,5,D,C
58,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_17,1,D,D
59,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_18,1,D,D
60,ipd,ipd,Scenario1,0,2,2020-06-17T18:43,RPl_19,5,D,C
61,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_0,3,C,C
62,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_1,0,C,D
63,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_2,0,C,D
64,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_3,0,C,D
65,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_4,1,D,D
66,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_5,5,D,C
67,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_6,5,D,C
68,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_7,3,C,C
69,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_8,3,C,C
70,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_9,1,D,D
71,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_10,5,D,C
72,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_11,0,C,D
73,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_12,5,D,C
74,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_13,3,C,C
75,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_14,0,C,D
76,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_15,1,D,D
77,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_16,1,D,D
78,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_17,1,D,D
79,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_18,1,D,D
80,ipd,ipd,Scenario1,0,3,2020-06-17T18:43,RPl_19,5,D,C
81,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_0,3,C,C
82,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_1,0,C,D
83,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_2,5,D,C
84,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_3,3,C,C
85,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_4,5,D,C
86,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_5,3,C,C
87,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_6,3,C,C
88,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_7,3,C,C
89,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_8,1,D,D
90,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_9,1,D,D
91,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_10,5,D,C
92,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_11,0,C,D
93,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_12,3,C,C
94,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_13,5,D,C
95,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_14,3,C,C
96,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_15,0,C,D
97,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_16,5,D,C
98,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_17,5,D,C
99,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_18,1,D,D
100,ipd,ipd,Scenario1,0,4,2020-06-17T18:43,RPl_19,0,C,D
101,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_0,3,C,C
102,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_1,3,C,C
103,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_2,5,D,C
104,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_3,5,D,C
105,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_4,0,C,D
106,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_5,0,C,D
107,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_6,3,C,C
108,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_7,0,C,D
109,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_8,0,C,D
110,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_9,5,D,C
111,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_10,5,D,C
112,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_11,1,D,D
113,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_12,5,D,C
114,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_13,5,D,C
115,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_14,0,C,D
116,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_15,0,C,D
117,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_16,5,D,C
118,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_17,3,C,C
119,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_18,1,D,D
120,ipd,ipd,Scenario1,0,5,2020-06-17T18:43,RPl_19,0,C,D
121,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_0,1,D,D
122,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_1,3,C,C
123,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_2,1,D,D
124,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_3,5,D,C
125,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_4,1,D,D
126,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_5,3,C,C
127,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_6,1,D,D
128,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_7,0,C,D
129,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_8,3,C,C
130,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_9,0,C,D
131,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_10,3,C,C
132,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_11,3,C,C
133,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_12,1,D,D
134,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_13,0,C,D
135,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_14,3,C,C
136,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_15,1,D,D
137,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_16,5,D,C
138,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_17,5,D,C
139,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_18,1,D,D
140,ipd,ipd,Scenario1,0,6,2020-06-17T18:43,RPl_19,3,C,C
141,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_0,0,C,D
142,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_1,5,D,C
143,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_2,1,D,D
144,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_3,1,D,D
145,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_4,0,C,D
146,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_5,5,D,C
147,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_6,3,C,C
148,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_7,3,C,C
149,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_8,3,C,C
150,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_9,1,D,D
151,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_10,0,C,D
152,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_11,5,D,C
153,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_12,0,C,D
154,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_13,3,C,C
155,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_14,3,C,C
156,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_15,1,D,D
157,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_16,3,C,C
158,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_17,5,D,C
159,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_18,0,C,D
160,ipd,ipd,Scenario1,0,7,2020-06-17T18:43,RPl_19,0,C,D
161,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,RPl_0,3,C,C
162,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,RPl_1,1,D,D
163,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,RPl_2,5,D,C
164,ipd,ipd,Scenario1,0,8,2020-06-17T18:43,RPl_3,5,D,C
